RowNumber,CustomerId,CustomerName,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
5001,15598695,Fields,834,Germany,Female,68.0,9,130169.27,2,0.0,1.0,93112.2,0
5002,15649354,Johnston,754,Spain,Male,35.0,4,0.0,2,1.0,1.0,9658.41,0
5003,15737556,Vasilyev,590,France,Male,43.0,7,81076.8,2,1.0,1.0,182627.25,1
5004,15671610,Hooper,740,France,Male,36.0,7,0.0,1,1.0,1.0,13177.4,0
5005,15625092,Colombo,502,Germany,Female,57.0,3,101465.31,1,1.0,0.0,43568.31,1
5006,15741032,Tsao,733,France,Male,48.0,5,0.0,1,0.0,1.0,117830.57,0
5007,15750014,Chikere,755,Germany,Female,37.0,0,113865.23,2,1.0,1.0,117396.25,0
5008,15784761,Ballard,554,Spain,Female,46.0,7,87603.35,3,0.0,1.0,96929.24,1
5009,15768359,Akhtar,534,France,Male,36.0,4,120037.96,1,1.0,0.0,36275.94,0
5010,15805769,O'Loughlin,656,Spain,Male,33.0,4,0.0,2,1.0,0.0,116706.0,0
5011,15719508,Davis,575,Germany,Male,49.0,7,121205.15,4,1.0,1.0,168080.53,1
5012,15609011,Barry,480,Spain,Male,47.0,8,75408.33,1,1.0,0.0,25887.89,1
5013,15703106,K'ung,575,France,Male,40.0,5,0.0,2,1.0,1.0,122488.59,0
5014,15626795,Gorman,672,France,Female,40.0,3,0.0,1,1.0,0.0,113171.61,1
5015,15773731,John,758,Spain,Female,35.0,5,0.0,2,0.0,0.0,100365.51,0
5016,15756196,Tsou,682,France,Male,50.0,6,121818.84,2,0.0,1.0,124151.37,0
5017,15687903,Okonkwo,501,France,Female,29.0,8,0.0,2,1.0,0.0,112664.24,0
5018,15777599,Esposito,746,Germany,Male,34.0,6,141806.0,2,1.0,1.0,183494.87,0
5019,15754577,Boni,556,France,Female,51.0,8,61354.14,1,1.0,0.0,198810.65,1
5020,15584113,Pratt,823,Germany,Female,53.0,4,124954.94,1,0.0,1.0,131259.6,1
5021,15669589,Page,491,Germany,Female,68.0,1,95039.12,1,0.0,1.0,116471.14,1
5022,15632793,Wilkinson,638,France,Female,29.0,9,103417.74,1,1.0,1.0,15336.4,0
5023,15711130,Tseng,734,France,Male,45.0,2,0.0,2,1.0,0.0,99593.28,0
5024,15615254,Clark,555,France,Male,40.0,10,43028.77,1,1.0,0.0,170514.21,0
5025,15720583,Finch,745,Germany,Female,44.0,0,119638.21,1,1.0,1.0,34265.08,1
5026,15780432,Shen,728,France,Male,37.0,3,122689.51,2,0.0,0.0,106977.53,1
5027,15673223,Hou,626,France,Male,44.0,10,0.0,2,0.0,0.0,164287.86,0
5028,15807989,Wall,681,Germany,Male,37.0,8,73179.34,2,1.0,1.0,25292.53,0
5029,15761168,Manna,478,France,Female,38.0,4,171913.87,1,1.0,0.0,51820.87,1
5030,15651272,Reyes,709,France,Male,38.0,5,0.0,2,1.0,1.0,81452.29,0
5031,15812832,Jideofor,562,Germany,Male,33.0,8,92659.2,2,1.0,0.0,1354.25,0
5032,15680517,Sal,769,Germany,Female,34.0,7,137239.17,1,1.0,1.0,71379.92,1
5033,15750569,Iweobiegbunam,684,Germany,Female,46.0,3,102955.14,2,1.0,0.0,154137.33,0
5034,15690743,Shao,536,France,Female,61.0,8,65190.29,1,1.0,1.0,64308.49,1
5035,15627741,Heath,631,Germany,Female,29.0,2,96863.52,2,1.0,1.0,31613.35,0
5036,15712121,Chidimma,657,Spain,Male,34.0,5,154983.98,1,1.0,0.0,27738.01,0
5037,15805429,Murray,699,Germany,Male,59.0,3,106819.65,1,0.0,1.0,163570.25,0
5038,15814923,Sullivan,606,Spain,Male,38.0,7,128578.52,1,1.0,1.0,193878.51,0
5039,15589230,Wu,612,France,Female,63.0,2,126473.33,1,0.0,1.0,147545.65,0
5040,15775490,Downie,660,France,Female,38.0,5,110570.78,2,1.0,0.0,195906.59,0
5041,15749727,Chukwufumnanya,829,Spain,Male,50.0,7,0.0,2,0.0,1.0,178458.86,0
5042,15619238,Allan,567,Spain,Male,29.0,8,0.0,2,1.0,0.0,156125.72,0
5043,15593468,Findlay,850,France,Female,33.0,3,0.0,2,1.0,1.0,11159.19,0
5044,15718454,Ch'eng,712,Spain,Female,44.0,2,0.0,2,0.0,0.0,45738.94,0
5045,15789498,Miller,562,France,Male,30.0,3,111099.79,2,0.0,0.0,140650.19,0
5046,15744691,Tsai,755,France,Female,29.0,3,0.0,3,1.0,0.0,4733.94,0
5047,15708289,Graham,793,Spain,Male,25.0,3,100913.57,1,0.0,0.0,10579.72,0
5048,15790412,Norton,471,Spain,Male,26.0,8,0.0,2,1.0,1.0,179655.87,0
5049,15741416,Yegorov,707,France,Male,42.0,2,16893.59,1,1.0,1.0,77502.56,0
5050,15598894,Holt,784,Spain,Male,38.0,10,122267.85,1,0.0,0.0,145759.93,0
5051,15663294,Kao,703,France,Male,32.0,1,125685.79,1,1.0,1.0,56246.72,0
5052,15572728,Ross,704,Spain,Male,36.0,8,127397.34,1,1.0,0.0,151335.24,0
5053,15706729,Hsiao,662,France,Male,38.0,0,105271.56,1,0.0,1.0,179833.45,0
5054,15674433,Allan,636,Germany,Female,28.0,2,115265.14,1,0.0,0.0,191627.85,0
5055,15641170,Liang,640,Spain,Male,36.0,4,0.0,1,0.0,0.0,173016.46,0
5056,15806284,Briggs,739,Spain,Male,31.0,1,0.0,2,1.0,1.0,58469.75,0
5057,15690958,Cantrell,767,Germany,Male,23.0,2,139542.82,1,0.0,1.0,28038.28,0
5058,15606386,Wang,753,Germany,Female,46.0,3,111512.75,3,1.0,0.0,159576.75,1
5059,15682322,Aksenov,714,France,Male,37.0,9,148466.93,2,0.0,1.0,151280.96,0
5060,15579915,Glennon,707,France,Male,29.0,4,0.0,2,1.0,0.0,139953.94,0
5061,15681928,Yancy,577,France,Female,35.0,4,108155.49,1,1.0,0.0,105407.79,0
5062,15734005,Mazzi,633,France,Female,42.0,1,0.0,2,1.0,0.0,56865.62,0
5063,15650432,Liu,849,Germany,Male,41.0,10,84622.13,1,1.0,1.0,198072.16,0
5064,15592578,Nucci,614,Spain,Female,41.0,7,146997.64,2,0.0,0.0,137791.18,0
5065,15671243,Y?,558,France,Female,47.0,9,0.0,2,1.0,0.0,103787.28,0
5066,15775709,Nucci,832,France,Female,27.0,10,98590.25,1,1.0,0.0,30912.89,0
5067,15702631,Tang,567,France,Female,26.0,2,0.0,2,1.0,1.0,78651.55,0
5068,15602282,Kao,587,Germany,Female,45.0,8,134980.74,1,1.0,1.0,123309.57,1
5069,15717879,Chen,712,Spain,Female,79.0,5,108078.56,1,1.0,1.0,174118.93,0
5070,15740878,Yao,655,Spain,Female,29.0,9,0.0,2,0.0,1.0,85736.26,0
5071,15794468,Tsou,641,France,Female,42.0,6,0.0,2,0.0,0.0,121138.77,0
5072,15773277,Barnes,676,France,Male,35.0,5,106836.67,2,1.0,0.0,84199.78,0
5073,15572657,H?,472,France,Male,29.0,8,102490.27,1,0.0,1.0,181224.56,0
5074,15800295,Cruz,644,Germany,Male,34.0,9,112746.54,2,0.0,0.0,141230.07,0
5075,15672397,Smith,598,France,Male,38.0,0,125487.89,1,0.0,0.0,158111.71,0
5076,15684921,Onuchukwu,792,Spain,Male,25.0,8,142862.21,1,1.0,1.0,130639.01,0
5077,15720676,Bukowski,700,France,Female,37.0,7,0.0,2,1.0,0.0,17040.82,0
5078,15731829,Simmons,616,France,Male,34.0,10,0.0,2,1.0,0.0,25662.27,0
5079,15732672,Stewart,743,Spain,Male,35.0,6,79388.33,1,1.0,1.0,193360.69,0
5080,15692406,Gow,427,France,Male,37.0,5,0.0,2,1.0,1.0,121485.1,0
5081,15764405,Williams,731,France,Male,29.0,10,0.0,2,1.0,1.0,162452.65,0
5082,15757537,Francis,610,France,Female,31.0,6,107784.65,1,1.0,1.0,141137.53,0
5083,15793307,Calabresi,724,Spain,Female,41.0,4,142880.28,3,0.0,0.0,185541.2,1
5084,15660679,Chimaobim,653,Spain,Female,38.0,9,149571.94,1,1.0,0.0,118383.18,0
5085,15666856,Chikwendu,774,France,Male,49.0,1,142767.39,1,1.0,1.0,8214.41,0
5086,15687372,Padovesi,547,Germany,Male,49.0,8,121537.71,2,1.0,0.0,46521.45,1
5087,15667289,Henderson,719,Spain,Male,50.0,2,0.0,2,0.0,0.0,10772.13,0
5088,15624641,Kharlamova,740,Spain,Male,43.0,9,0.0,1,1.0,0.0,199290.68,1
5089,15734610,Onio,543,France,Male,42.0,4,89838.71,3,1.0,0.0,85983.54,1
5090,15631882,Yeh,688,Germany,Male,45.0,9,103399.87,1,0.0,0.0,129870.93,0
5091,15642709,Feng,474,France,Female,30.0,9,0.0,2,0.0,0.0,63158.22,0
5092,15811026,Norman,505,Germany,Male,43.0,5,136855.94,2,1.0,0.0,171070.52,0
5093,15596303,White,688,France,Female,39.0,0,0.0,2,1.0,0.0,53222.15,1
5094,15787255,Manfrin,650,Germany,Female,55.0,2,140891.46,3,1.0,1.0,179834.45,1
5095,15617166,Ritchie,610,France,Male,37.0,0,0.0,1,1.0,0.0,114514.64,0
5096,15742442,Udegbulam,705,Spain,Female,46.0,5,89364.91,1,0.0,1.0,139162.15,0
5097,15758692,Kao,669,France,Female,29.0,7,146011.4,1,0.0,0.0,50249.16,0
5098,15568238,Diaz,650,Spain,Male,20.0,8,0.0,2,1.0,1.0,113469.65,0
5099,15730353,Olisaemeka,550,Germany,Male,29.0,9,145294.08,2,1.0,0.0,147484.13,0
5100,15731555,Ross-Watt,595,Germany,Female,45.0,9,106000.12,1,0.0,0.0,191448.96,1
5101,15582404,Miller,572,Spain,Female,26.0,5,0.0,2,1.0,0.0,119381.41,0
5102,15721462,Shubin,622,Spain,Female,58.0,2,0.0,2,1.0,1.0,33277.31,0
5103,15632899,Nwankwo,662,Spain,Male,20.0,9,104508.77,2,0.0,0.0,73107.53,0
5104,15808526,Cartwright,783,Germany,Female,58.0,3,127539.3,1,1.0,1.0,96590.39,1
5105,15694349,Ngozichukwuka,714,Spain,Male,44.0,7,0.0,1,0.0,1.0,6923.11,0
5106,15718465,Sadler,671,Germany,Male,51.0,3,96891.46,1,1.0,0.0,176403.33,1
5107,15682995,Azuka,600,France,Female,32.0,1,78535.25,1,1.0,0.0,64349.6,0
5108,15584776,Shen,847,Spain,Female,37.0,9,112712.17,1,1.0,0.0,116097.26,0
5109,15777772,Whittaker,650,Spain,Male,55.0,9,119618.42,1,1.0,1.0,29861.13,0
5110,15576156,Abazu,710,Spain,Female,28.0,6,0.0,1,1.0,0.0,48426.98,0
5111,15646756,Murphy,682,France,Female,33.0,8,74963.5,1,1.0,1.0,32770.56,0
5112,15742886,Ford,642,France,Male,26.0,1,138023.79,2,0.0,1.0,117060.2,0
5113,15586135,Gratwick,536,Spain,Female,28.0,4,0.0,1,1.0,1.0,136197.65,0
5114,15616152,Pai,754,France,Female,47.0,1,185513.67,1,1.0,0.0,27438.83,0
5115,15721460,Lorenzo,678,France,Male,60.0,8,185648.56,1,0.0,0.0,192156.54,1
5116,15727317,Brady,533,Germany,Female,49.0,1,102286.6,3,1.0,0.0,69409.37,1
5117,15649536,Wong,741,Germany,Male,38.0,4,128015.83,1,1.0,0.0,58440.43,0
5118,15754929,Douglas,757,France,Male,31.0,10,39539.39,2,0.0,0.0,192519.39,0
5119,15572051,Kennedy,721,France,Male,40.0,3,0.0,1,1.0,1.0,144874.67,0
5120,15668142,Chang,700,France,Male,37.0,3,77608.46,2,1.0,1.0,175373.46,0
5121,15701176,Brown,663,France,Male,26.0,5,141462.13,1,1.0,0.0,440.2,0
5122,15708422,Hsiung,677,Spain,Female,35.0,0,0.0,2,0.0,0.0,76637.38,0
5123,15655632,MacDonald,655,France,Male,27.0,2,131691.33,1,1.0,0.0,49480.66,0
5124,15744606,Davidson,832,Spain,Male,29.0,8,93833.86,1,0.0,1.0,10417.87,0
5125,15612140,Milano,721,Spain,Female,46.0,7,137933.39,1,1.0,1.0,67976.57,0
5126,15656086,Bovee,542,Spain,Male,54.0,8,105770.14,1,0.0,1.0,140929.98,1
5127,15655298,Lewis,654,Spain,Female,54.0,5,0.0,2,0.0,1.0,47139.06,0
5128,15644796,Dyer,821,Spain,Female,38.0,8,0.0,2,0.0,1.0,126241.4,1
5129,15726250,Hsia,508,France,Female,38.0,3,166328.65,2,0.0,1.0,22614.19,0
5130,15764432,Hicks,588,Germany,Female,42.0,2,164307.77,1,1.0,0.0,48498.19,0
5131,15631721,Millar,691,Germany,Male,38.0,9,163965.69,2,0.0,1.0,103511.26,0
5132,15707479,Fan,664,France,Male,40.0,7,125608.72,1,1.0,0.0,122073.48,0
5133,15579826,Young,439,France,Female,66.0,9,0.0,1,1.0,0.0,65535.56,0
5134,15668104,Kerr,479,Spain,Male,37.0,6,118433.94,1,0.0,1.0,160060.9,0
5135,15641604,Frolova,850,France,Female,55.0,10,98488.08,1,1.0,0.0,155879.57,1
5136,15587240,Vasilyev,518,France,Male,40.0,4,0.0,2,0.0,1.0,194416.58,0
